freq,psd_x,psd_y,psd_z,psd_xyz
162.7,6.909e+02,1.276e+03,1.104e+03,3.071e+03
164.3,6.240e+02,1.366e+03,1.051e+03,3.041e+03
165.9,6.327e+02,1.596e+03,1.160e+03,3.388e+03
167.5,6.304e+02,1.380e+03,1.109e+03,3.119e+03
169.1,6.896e+02,1.316e+03,1.234e+03,3.240e+03
170.6,6.874e+02,1.172e+03,1.310e+03,3.169e+03
172.2,7.120e+02,1.211e+03,1.336e+03,3.259e+03
173.8,8.329e+02,1.348e+03,1.409e+03,3.590e+03
175.4,9.127e+02,1.361e+03,1.415e+03,3.688e+03
177.0,1.323e+03,1.697e+03,2.253e+03,5.273e+03
178.5,1.362e+03,1.612e+03,2.167e+03,5.140e+03
180.1,1.624e+03,1.587e+03,2.286e+03,5.497e+03
181.7,1.555e+03,1.548e+03,2.066e+03,5.168e+03
183.3,1.651e+03,1.559e+03,1.827e+03,5.037e+03
184.9,2.222e+03,1.690e+03,2.020e+03,5.932e+03
186.4,2.250e+03,1.744e+03,2.019e+03,6.013e+03
188.0,2.849e+03,2.139e+03,2.419e+03,7.407e+03
189.6,3.453e+03,2.379e+03,2.808e+03,8.640e+03
191.2,3.950e+03,2.023e+03,2.623e+03,8.597e+03
192.8,5.042e+03,2.506e+03,2.847e+03,1.040e+04
194.3,4.164e+03,2.281e+03,2.151e+03,8.596e+03
195.9,3.328e+03,2.307e+03,1.811e+03,7.446e+03
197.5,3.433e+03,2.612e+03,1.762e+03,7.807e+03
199.1,5.045e+03,3.821e+03,2.081e+03,1.095e+04
200.7,3.854e+03,2.555e+03,1.442e+03,7.851e+03
202.2,5.156e+03,2.945e+03,1.602e+03,9.703e+03
